Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude
(2012 DZ32),Amor Asteroid,57800,2.3015,0.4687,7.3841,133.2794,40.3237,148.1147,1.2228,3.38,3.49,0.2466,17,21.6
(2012 DA33),Apollo Asteroid,57800,1.1164,0.5047,6.4898,52.4715,345.7717,143.7786,0.5529,1.68,1.18,0.0364,9,23.4
(2012 DV43),Amor Asteroid,57800,1.4446,0.2757,3.0427,357.3252,149.4979,317.2514,1.0464,1.84,1.74,0.0582,8,26.3
(2012 DW43),Apollo Asteroid,55985,1.6142,0.4417,6.9336,123.9705,338.4872,22.0083,0.9012,2.33,2.05,0.0214,6,26.4
(2012 DX43),Amor Asteroid,57800,2.0363,0.4404,8.5718,176.9769,337.6878,258.3413,1.1395,2.93,2.91,0.1497,8,23.8
(2012 DY43),Apollo Asteroid,57800,1.594,0.6411,10.3698,253.5515,164.9899,198.6521,0.5721,2.62,2.01,0.0356,10,23
(2012 DG54),Apollo Asteroid,57800,2.2914,0.7331,30.6453,228.6986,161.9361,190.2278,0.6115,3.97,3.47,0.2374,5,20.3
(2012 DH54),Aten Asteroid,57800,0.9362,0.1463,3.3084,131.0382,162.279,53.843,0.7993,1.07,0.91,0.0082,17,27.5
(2012 DJ54),Apollo Asteroid,57800,1.1762,0.2299,1.9906,120.0518,336.8797,3.1044,0.9058,1.45,1.28,0.0019,7,28.6
(2012 DT60),Amor Asteroid,57800,1.1916,0.1125,7.4807,73.7632,353.8815,6.3661,1.0576,1.33,1.3,0.1139,7,22.1
(2012 DU60),Apollo Asteroid,57800,1.7947,0.4586,3.3439,213.073,338.1247,13.0457,0.9717,2.62,2.4,0.0108,5,25.4
(2012 DW60),Apollo Asteroid,57800,1.1113,0.1678,4.8215,237.8737,353.6724,31.8768,0.9248,1.3,1.17,0.0014,17,26.5
(2012 DE61),Amor Asteroid,57800,2.2689,0.4502,19.269,83.8853,355.1255,208.809,1.2475,3.29,3.42,0.4366,11,19.4
(2012 DF61),Apollo Asteroid,57800,1.1492,0.4979,5.315,27.3182,15.4283,63.7699,0.577,1.72,1.23,0.068,28,20.6
(2012 DG61),Apollo Asteroid,57800,3.2502,0.738,15.3368,186.122,69.9977,281.5033,0.8516,5.65,5.86,0.1472,20,18
(2012 DH61),Amor Asteroid,57800,2.2128,0.5099,23.3834,130.6718,86.1664,161.1053,1.0845,3.34,3.29,0.1754,29,19.1
(2012 DJ61),Aten Asteroid (Hazard),57800,0.9177,0.5153,53.6304,311.9501,346.2811,122.3014,0.4448,1.39,0.88,0.0286,18,19.9
(2012 DX75),Apollo Asteroid,57800,2.3605,0.5738,14.8308,211.8331,13.596,117.1269,1.0061,3.71,3.63,0.0505,38,20.3
(2012 EA),Apollo Asteroid,57800,1.5989,0.3766,1.5831,10.9818,153.5304,164.0033,0.9968,2.2,2.02,0.0071,8,26.9
(2012 EB),Apollo Asteroid,57800,1.076,0.0783,15.8216,115.0573,344.4897,213.7691,0.9917,1.16,1.12,0.0423,10,23.8
(2012 EC),Apollo Asteroid,57800,1.1544,0.1388,0.9094,332.7775,306.8397,257.146,0.9941,1.31,1.24,0.0015,29,23.4
(2012 EJ1),Apollo Asteroid,55988,1.8306,0.4913,6.7699,46.0164,158.549,345.6017,0.9313,2.73,2.48,0.0186,4,25
(2012 EK1),Apollo Asteroid,55989,1.3417,0.2757,44.5738,138.0007,340.5174,24.8351,0.9717,1.71,1.55,0.0372,4,24.3
(2012 EM1),Apollo Asteroid,57800,1.728,0.4232,2.1162,200.7612,342.0986,58.234,0.9967,2.46,2.27,0.0095,5,26.5
(2012 EZ1),Apollo Asteroid,55989,2.0066,0.5961,0.5022,308.2173,153.5901,14.3971,0.8106,3.2,2.84,0.0011,3,28.8
(2012 EA2),Apollo Asteroid,57800,1.8894,0.688,10.1997,42.7178,17.361,343.3642,0.5895,3.19,2.6,0.1293,23,19.2
(2012 EB2),Amor Asteroid,57800,1.7875,0.4238,3.9076,177.0825,11.3334,16.8728,1.0299,2.54,2.39,0.031,13,24.7
(2012 EN3),Apollo Asteroid,57800,2.2736,0.557,4.7507,31.6109,162.5892,153.2119,1.0072,3.54,3.43,0.0334,12,24
(2012 EO3),Aten Asteroid,57800,0.7804,0.3564,29.5209,352.2297,345.5106,256.5606,0.5023,1.06,0.69,0.0599,9,23
(2012 EP3),Aten Asteroid,57800,0.9332,0.4024,6.6598,141.4123,148.9229,97.4196,0.5577,1.31,0.9,0.0376,3,25.5
(2012 EQ3),Apollo Asteroid,55993,1.3151,0.8227,8.44,214.6906,171.9292,34.1216,0.2331,2.4,1.51,0.0285,10,22.5
(2012 ER3),Apollo Asteroid,57800,1.5126,0.4104,12.7345,67.7433,164.7858,209.3945,0.8918,2.13,1.86,0.0531,9,24.5
(2012 ES3),Apollo Asteroid,57800,1.7423,0.4259,9.688,323.9767,169.0848,67.6386,1.0003,2.48,2.3,0.0505,6,25.2
(2012 EF5),Apollo Asteroid,56001,1.2231,0.2611,47.8162,69.8572,164.0623,319.7302,0.9038,1.54,1.35,0.0515,5,21.3
(2012 EG5),Apollo Asteroid,57800,2.1487,0.5416,3.029,15.9924,192.9189,193.4695,0.985,3.31,3.15,0.0005,26,24.3
(2012 EH5),Aten Asteroid,57800,0.9804,0.1273,15.6058,5.1257,356.5191,196.3032,0.8556,1.11,0.97,0.1095,7,24.5
(2012 EJ5),Apollo Asteroid,57800,1.4728,0.3163,0.1873,140.9822,36.5176,270.847,1.0069,1.94,1.79,0.0111,4,27.7
(2012 EK5),Apollo Asteroid,56001,1.8201,0.5576,9.9503,240.4867,4.5005,340.0009,0.8052,2.83,2.46,0.0053,4,25.6
(2012 EL5),Apollo Asteroid,57800,2.459,0.6728,7.0093,340.8354,126.1494,112.4797,0.8047,4.11,3.86,0.0729,29,20
(2012 EM5),Apollo Asteroid,56001,1.8527,0.6162,28.7794,102.4543,353.3987,19.13,0.711,2.99,2.52,0.0138,5,25.3
(2012 EN5),Apollo Asteroid,57800,1.0267,0.3039,3.9404,102.7693,174.4796,195.9925,0.7146,1.34,1.04,0.0009,5,27.3
(2012 EO5),Apollo Asteroid,57800,1.6327,0.5045,6.5883,282.6276,176.6398,155.6335,0.8091,2.46,2.09,0.0268,12,23.4
(2012 EP5),Amor Asteroid,57800,1.4143,0.2212,25.8621,77.5558,352.2622,50.583,1.1015,1.73,1.68,0.2518,6,21.6
(2012 EJ8),Apollo Asteroid,56001,1.5145,0.7067,3.5459,6.1339,51.2671,30.1793,0.4442,2.58,1.86,0.0554,3,24
(2012 EK8),Apollo Asteroid,57800,2.0458,0.5084,9.6616,202.5642,1.0549,237.2768,1.0058,3.09,2.93,0.0281,15,23.8
(2012 EL8),Apollo Asteroid,57800,1.1885,0.1493,4.2578,166.1312,358.3549,295.9604,1.0111,1.37,1.3,0.019,5,28.3
(2012 EM8),Amor Asteroid,57800,1.369,0.2433,3.9193,15.6915,183.399,12.932,1.036,1.7,1.6,0.0387,15,24.7
(2012 EO8),Apollo Asteroid,57800,2.0447,0.5619,8.6003,45.7434,179.0129,233.3422,0.8958,3.19,2.92,0.0041,14,24.3
(2012 EN10),Apollo Asteroid,57800,1.5094,0.4067,11.1205,304.1122,176.0195,258.8997,0.8956,2.12,1.85,0.0187,5,26.1
(2012 EO10),Amor Asteroid,57800,2.2451,0.525,2.2429,249.6126,322.1379,157.0674,1.0664,3.42,3.36,0.072,6,24.5
(2012 EP10),Apollo Asteroid,57800,1.0503,0.116,1.0329,105.7733,348.0219,274.9137,0.9285,1.17,1.08,0.0023,8,29.1
(2012 EQ10),Apollo Asteroid,57800,1.4048,0.292,12.3009,331.4083,177.5432,358.7372,0.9947,1.82,1.67,0.0252,7,25.9
(2012 ER10),Apollo Asteroid,56003,1.9271,0.5195,4.4329,135.8395,349.8153,15.2311,0.926,2.93,2.68,0.0101,4,25.5
(2012 ES10),Apollo Asteroid,56006,1.887,0.7573,6.8184,72.9287,346.5729,25.0128,0.458,3.32,2.59,0.0054,8,23.8
(2012 EY11),Apollo Asteroid (Hazard),57800,1.1483,0.1507,9.0212,238.8689,167.6183,102.3555,0.9752,1.32,1.23,0.0295,14,22
(2012 EZ11),Amor Asteroid,57800,1.4388,0.2051,19.6039,285.2074,168.1257,15.5537,1.1437,1.73,1.73,0.2752,9,21.6
(2012 EA12),Apollo Asteroid,57800,1.5692,0.3743,30.8877,35.3229,174.9956,165.9757,0.9818,2.16,1.97,0.0368,6,24.9
(2012 ER14),Amor Asteroid,57800,1.6369,0.3635,6.8643,14.7651,33.9155,203.6323,1.0418,2.23,2.09,0.0552,58,20.5
(2012 ES14),Apollo Asteroid,57800,2.5636,0.6534,24.7612,77.8964,189.2435,52.7923,0.8887,4.24,4.1,0.1711,53,20
(2012 ET14),Apollo Asteroid,57800,1.6809,0.5663,66.228,174.4578,166.6612,284.2444,0.729,2.63,2.18,0.2757,17,17.6
(2012 EU14),Amor Asteroid,57800,2.0836,0.4792,22.6336,88.6185,185.0494,185.9317,1.0852,3.08,3.01,0.3471,17,20.2
(2012 EV14),Amor Asteroid,56003,1.7364,0.3959,31.5239,297.517,174.1692,30.2881,1.0489,2.42,2.29,0.2119,5,23
(2012 EW14),Amor Asteroid,57800,2.0225,0.4944,5.4573,218.3692,15.724,240.4703,1.0225,3.02,2.88,0.047,8,22.2
(2012 FE),Apollo Asteroid,56002,1.7527,0.4235,4.811,25.9609,178.3736,349.0289,1.0104,2.49,2.32,0.0267,3,27
(2012 FF),Amor Asteroid,56003,1.5298,0.2561,17.5563,15.1737,167.3698,354.7892,1.1379,1.92,1.89,0.1504,4,24
(2012 FG),Apollo Asteroid,57800,2.0862,0.6353,2.2212,289.1831,178.1952,242.7936,0.7609,3.41,3.01,0.0027,7,26.2
(2012 FJ),Amor Asteroid,57800,2.2506,0.4446,40.0768,16.1617,190.8036,159.2563,1.25,3.25,3.38,0.2631,35,18.8
(2012 FM),Apollo Asteroid,57800,1.9415,0.4849,3.2157,151.4408,11.3384,298.8171,1,2.88,2.71,0.0203,5,26.1
(2012 FN),Apollo Asteroid,56003,1.2214,0.1871,3.2329,147.8926,356.9089,21.742,0.9929,1.45,1.35,0.0156,3,29.2
(2012 FB1),Amor Asteroid,56006,1.7485,0.3281,14.2236,167.8546,358.1797,6.3631,1.1749,2.32,2.31,0.1843,5,24.1
(2012 FC1),Amor Asteroid,57800,2.8561,0.6166,8.3198,24.5133,177.7551,1.914,1.095,4.62,4.83,0.1079,7,24.6
(2012 FD1),Amor Asteroid,57800,2.0287,0.496,6.0703,64.7473,174.9617,231.682,1.0224,3.04,2.89,0.0843,19,22.7
(2012 FQ1),Apollo Asteroid (Hazard),57800,2.6061,0.6158,5.1706,169.2678,98.2884,28.8762,1.0013,4.21,4.21,0.0061,23,19.3
(2012 FR1),Apollo Asteroid (Hazard),57800,2.1761,0.712,13.3037,86.2365,355.4792,218.9212,0.6268,3.73,3.21,0.007,19,19.1
(2012 FX13),Apollo Asteroid,56008,1.0445,0.1357,16.3361,55.4673,357.7137,114.4672,0.9027,1.19,1.07,0.0515,4,25.2
(2012 FY13),Amor Asteroid,56008,2.2786,0.5124,0.4146,195.4845,346.936,359.0995,1.111,3.45,3.44,0.1139,4,24.5
(2012 FZ13),Apollo Asteroid,56009,1.0363,0.4445,11.7621,228.2072,180.7871,85.5145,0.5757,1.5,1.06,0.0668,5,24.1
(2012 FA14),Apollo Asteroid,57800,1.4138,0.2831,3.2871,312.8968,293.8196,289.1781,1.0136,1.81,1.68,0.0287,24,23.1
(2012 FB14),Amor Asteroid,56008,2.0489,0.4925,7.9183,354.3698,180.6062,2.0641,1.0399,3.06,2.93,0.0451,3,27
(2012 FJ15),Apollo Asteroid,56009,2.3922,0.6994,1.4883,345.9022,106.8764,15.0792,0.7192,4.07,3.7,0.0215,5,22.8
(2012 FK15),Aten Asteroid,57800,0.9905,0.067,24.3547,327.0574,0.5467,208.8283,0.9241,1.06,0.99,0.0481,3,26.5
(2012 FD23),Apollo Asteroid,57800,2.168,0.5828,8.9125,11.3382,243.5422,175.0478,0.9045,3.43,3.19,0.0724,18,20
(2012 FS23),Apollo Asteroid,56011,1.2078,0.6318,37.9391,315.6826,354.7648,308.9524,0.4447,1.97,1.33,0.1784,8,20.9
(2012 FT23),Apollo Asteroid,56010,1.6109,0.3777,15.0747,130.3565,3.1446,20.4115,1.0025,2.22,2.04,0.0887,4,24.2
(2012 FU23),Apollo Asteroid,57800,1.5036,0.5899,5.4393,95.844,181.1867,208.111,0.6166,2.39,1.84,0.0068,4,27.6
(2012 FV23),Apollo Asteroid,57800,1.5501,0.3669,1.0743,136.6639,74.6134,181.6166,0.9813,2.12,1.93,0.0052,6,25.4
(2012 FW23),Amor Asteroid,57800,1.305,0.1427,11.3519,23.4356,185.265,85.0571,1.1187,1.49,1.49,0.1273,9,24.5
(2012 FX23),Amor Asteroid,57800,1.9747,0.4762,11.2128,22.6698,183.1161,268.9673,1.0343,2.92,2.78,0.0537,3,26.2
(2012 FY23),Apollo Asteroid,57800,2.4147,0.5809,17.3035,42.1935,204.4943,95.6218,1.0119,3.82,3.75,0.0856,37,20
(2012 FK35),Apollo Asteroid,57800,1.4518,0.5814,35.9403,303.096,18.4293,195.4746,0.6077,2.3,1.75,0.2258,17,18.2
(2012 FL35),Apollo Asteroid,57800,1.5146,0.7523,19.0186,327.568,11.4959,172.5473,0.3752,2.65,1.86,0.162,20,19.7
(2012 FM35),Apollo Asteroid,57800,1.0116,0.1184,2.1212,77.3119,11.1722,17.2256,0.8919,1.13,1.02,0.0082,12,27.3
(2012 FN35),Apollo Asteroid,56011,1.1671,0.2709,9.2904,71.5965,6.9527,74.5182,0.851,1.48,1.26,0.004,6,24.9
(2012 FO35),Apollo Asteroid,56013,1.8096,0.5792,7.1556,93.2796,179.3621,334.2245,0.7614,2.86,2.43,0.0338,7,23.6
(2012 FP35),Apollo Asteroid,57800,1.366,0.4513,8.9765,78.9961,185.3622,351.1964,0.7495,1.98,1.6,0.0014,6,27.9
(2012 FQ35),Apollo Asteroid,57800,1.2907,0.2183,18.0556,340.4246,182.5014,135.4779,1.009,1.57,1.47,0.0225,13,23.6
(2012 FR35),Amor Asteroid,57800,2.5334,0.5413,13.33,179.8636,10.5001,74.6368,1.162,3.9,4.03,0.1627,25,21.7
(2012 FS35),Apollo Asteroid,57800,1.0989,0.1184,2.337,42.2355,186.5522,55.2894,0.9687,1.23,1.15,0.0007,6,30.2
(2012 FT35),Aten Asteroid,57800,0.8339,0.204,5.1225,169.5833,185.0803,350.0681,0.6638,1,0.76,0.0018,7,29.2
(2012 FU35),Apollo Asteroid,56011,1.447,0.3145,8.2055,124.3809,353.952,33.197,0.992,1.9,1.74,0.0696,4,23.8
(2012 FV35),Apollo Asteroid,56012,1.295,0.3591,5.8105,263.6028,194.1218,48.1179,0.83,1.76,1.47,0.025,4,25.1
(2012 FW35),Apollo Asteroid,56012,1.9836,0.5438,6.3369,49.6697,188.6818,345.5501,0.905,3.06,2.79,0.0117,4,26.4
(2012 FX35),Apollo Asteroid,57800,1.0731,0.0656,10.8303,343.0835,183.2433,161.9736,1.0026,1.14,1.11,0.0083,7,25.8
(2012 FH38),Apollo Asteroid,57800,1.55,0.5865,8.5568,293.1754,144.1489,228.595,0.6409,2.46,1.93,0.0503,8,21.7
(2012 FZ44),Apollo Asteroid,57800,1.6699,0.5528,12.313,309.3468,343.1858,53.2565,0.7467,2.59,2.16,0.0745,17,20.7
(2012 FM52),Apollo Asteroid,57800,2.3431,0.6104,22.2927,156.1094,146.1285,93.7722,0.9129,3.77,3.59,0.0611,31,18.6
(2012 FO52),Amor Asteroid,57800,2.04,0.4867,3.7223,309.8192,195.7032,256.4243,1.0471,3.03,2.91,0.0756,11,22.6
(2012 FP52),Apollo Asteroid,57800,1.1402,0.1138,18.6869,324.9884,186.3504,34.5787,1.0104,1.27,1.22,0.0312,10,24.6
(2012 FQ52),Amor Asteroid,57800,2.014,0.4884,2.6428,150.432,13.6471,262.994,1.0303,3,2.86,0.043,10,25
(2012 FR52),Amor Asteroid,57800,2.0271,0.3976,3.0549,156.4771,15.7988,254.504,1.2212,2.83,2.89,0.2278,8,23.2
(2012 FS52),Apollo Asteroid,57800,1.3676,0.4672,15.9492,264.9028,11.9398,343.7816,0.7286,2.01,1.6,0.0137,7,24.9
(2012 FA57),Apollo Asteroid,57800,2.561,0.6173,0.2774,22.0352,190.1008,64.6709,0.98,4.14,4.1,0.0003,8,26
(2012 FD58),Apollo Asteroid,57800,1.1142,0.3857,15.5929,136.8786,204.8142,282.928,0.6844,1.54,1.18,0.151,4,21.4
(2012 FE58),Amor Asteroid,57800,2.2156,0.4845,7.804,337.7848,223.0843,171.1188,1.1421,3.29,3.3,0.1457,19,20.7
(2012 FG58),Apollo Asteroid (Hazard),57800,2.1482,0.5462,13.5171,220.4837,32.8665,181.4412,0.9748,3.32,3.15,0.0405,19,22
(2012 FH58),Apollo Asteroid,57800,1.1911,0.3012,7.5817,258.4874,10.5803,225.1456,0.8324,1.55,1.3,0.0092,6,27.1
(2012 FJ58),Apollo Asteroid,56016,1.36,0.3817,23.0152,282.097,187.0515,40.1011,0.8409,1.88,1.59,0.059,3,24.9
(2012 FN62),Amor Asteroid,57800,3.2575,0.6173,10.0127,142.3779,148.0559,267.326,1.2465,5.27,5.88,0.255,11,17.7
(2012 FO62),Apollo Asteroid (Hazard),57800,2.0145,0.5159,3.9801,212.7867,258.535,285.9031,0.9753,3.05,2.86,0.0194,22,20.2
(2012 FP62),Amor Asteroid,57800,1.5055,0.1832,34.0577,234.5745,20.9777,190.3799,1.2297,1.78,1.85,0.3014,17,20.8
(2012 FQ62),Apollo Asteroid,57800,2.1822,0.7254,1.0957,226.8962,54.6354,168.5293,0.5991,3.77,3.22,0.0124,5,25.9
(2012 FS62),Apollo Asteroid,57800,1.2321,0.3962,13.4323,313.9409,37.3089,77.6248,0.7439,1.72,1.37,0.1148,20,20.2
(2012 FT62),Apollo Asteroid,56020,1.8461,0.5467,3.4566,223.7661,40.2804,339.2843,0.8369,2.86,2.51,0.0146,7,24.8
(2012 FU62),Apollo Asteroid,57800,1.5605,0.3635,17.5875,284.6561,184.1805,226.8262,0.9932,2.13,1.95,0.1698,6,22.4
(2012 FA71),Apollo Asteroid,56016,2.7898,0.7122,2.9978,321.4184,158.9976,10.4674,0.8029,4.78,4.66,0.0169,3,25.4
(2012 FB71),Apollo Asteroid,56017,2.6714,0.7088,2.7649,39.1974,76.4522,12.1314,0.7778,4.56,4.37,0.0175,4,24.4
(2012 FC71),Aten Asteroid,57800,0.9879,0.0882,4.943,348.3049,38.1423,150.114,0.9008,1.07,0.98,0.0566,6,25.2
(2012 GC),Amor Asteroid,56019,1.3177,0.1892,17.8026,192.0641,13.2395,350.7644,1.0684,1.57,1.51,0.0716,3,24.5
(2012 GD),Apollo Asteroid,56019,1.9728,0.5107,0.5231,151.4377,81.6527,347.9973,0.9654,2.98,2.77,0.0005,5,26.9
(2012 GE),Apollo Asteroid,57800,1.1239,0.3722,3.4781,79.5865,14.1576,89.3087,0.7055,1.54,1.19,0.006,4,26.8
(2012 GK),Apollo Asteroid,57800,1.7987,0.4684,3.3562,146.7044,113.7934,341.1985,0.9563,2.64,2.41,0.0019,27,22.4
(2012 GP1),Amor Asteroid,57800,1.4489,0.2967,2.8239,26.8305,196.2733,269.6825,1.019,1.88,1.74,0.0222,12,26.2
(2012 GC2),Apollo Asteroid,57800,1.4563,0.3952,12.6849,70.6925,203.3257,239.6172,0.8808,2.03,1.76,0.0457,14,23.1
(2012 GD2),Amor Asteroid,57800,1.4137,0.2645,35.9343,16.6124,201.7168,309.3399,1.0398,1.79,1.68,0.0463,8,22.8
(2012 GA5),Amor Asteroid,57800,1.1419,0.066,7.2998,108.7225,192.5028,257.2854,1.0665,1.22,1.22,0.0984,9,24.2
(2012 GB5),Apollo Asteroid,57800,2.1458,0.5754,5.1569,72.6758,196.9871,176.4573,0.9111,3.38,3.14,0.0439,7,23.6
(2012 GC5),Amor Asteroid,56030,1.3405,0.1818,9.2033,170.3651,22.2153,6.43,1.0967,1.58,1.55,0.0966,5,25.2
(2012 GD5),Amor Asteroid,57800,1.9595,0.4267,2.4698,174.3837,98.799,244.8138,1.1234,2.8,2.74,0.1075,10,22.5
(2012 GE5),Amor Asteroid,56030,2.8195,0.6323,7.3562,200.7135,22.8198,356.2954,1.0369,4.6,4.73,0.0446,5,26.1
(2012 GS5),Apollo Asteroid,57800,3.3719,0.8547,17.3232,211.6396,95.0325,270.5655,0.49,6.25,6.19,0.2359,14,18.7
(2012 GT5),Amor Asteroid,57800,2.2505,0.4784,4.201,204.5688,73.9826,125.6645,1.1739,3.33,3.38,0.1611,8,20.8
(2012 GM11),Amor Asteroid,56026,1.3567,0.0648,5.0801,342.1364,182.1391,30.5125,1.2687,1.44,1.58,0.2757,2,23.55
(2012 GV11),Apollo Asteroid,57800,1.045,0.2157,5.4038,217.5085,164.6704,24.4113,0.8196,1.27,1.07,0.075,25,22.3
(2012 GW11),Apollo Asteroid,57800,1.6148,0.5693,10.4032,83.9742,205.7887,103.2582,0.6954,2.53,2.05,0.0082,4,26.4
(2012 GX11),Amor Asteroid,57800,2.1125,0.4447,9.3148,187.5928,74.9412,188.572,1.1731,3.05,3.07,0.1592,33,21.2
(2012 GY11),Apollo Asteroid,57800,1.7987,0.4461,4.4357,331.9161,209.151,10.5669,0.9963,2.6,2.41,0.0168,5,26.6
(2012 GA12),Apollo Asteroid,56034,2.4547,0.7728,1.811,130.7978,333.1809,15.777,0.5577,4.35,3.85,0.0203,6,22.8
(2012 GG12),Amor Asteroid,56033,2.2229,0.4343,7.4091,117.3413,13.6963,36.1277,1.2576,3.19,3.31,0.2988,2,20
(2012 GV17),Apollo Asteroid (Hazard),57800,1.6417,0.459,11.0417,311.8088,6.7972,42.7665,0.8881,2.4,2.1,0.0047,25,21.1
(2012 GB18),Apollo Asteroid,57800,2.4451,0.8054,7.6137,39.9782,286.214,68.9607,0.4757,4.41,3.82,0.0853,8,20.7
(2012 HE),Apollo Asteroid,57800,2.1752,0.5363,7.8782,196.3651,32.7136,177.0138,1.0085,3.34,3.21,0.014,6,25.7
(2012 HK),Amor Asteroid,57800,1.4781,0.288,17.2217,349.9162,206.6499,253.684,1.0525,1.9,1.8,0.0522,14,23.5
(2012 HL),Apollo Asteroid,57800,2.0933,0.5199,9.2717,40.6051,210.2234,201.5341,1.005,3.18,3.03,0.0527,35,22.5
(2012 HM),Apollo Asteroid,57800,1.1751,0.1975,7.1489,230.1836,39.0262,242.5922,0.943,1.41,1.27,0.0029,31,24.1
(2012 HN),Apollo Asteroid,57800,1.0492,0.2324,25.1039,263.009,201.9603,254.3407,0.8053,1.29,1.07,0.0168,6,24
(2012 HO),Amor Asteroid,57800,1.4221,0.2169,21.4954,48.1363,202.4257,279.4453,1.1136,1.73,1.7,0.167,16,22.7
(2012 HQ),Apollo Asteroid,56035,2.0567,0.6764,6.167,271.0888,23.3625,342.2665,0.6655,3.45,2.95,0.016,6,25
(2012 HJ1),Apollo Asteroid (Hazard),57800,2.0027,0.6069,31.2826,291.1944,44.6985,206.613,0.7872,3.22,2.83,0.0347,56,17.9
(2012 HM1),Amor Asteroid,57800,2.0696,0.4809,7.5691,71.8448,211.9456,192.9958,1.0744,3.06,2.98,0.1356,42,21.4
(2012 HN1),Apollo Asteroid,57800,1.0259,0.153,2.4027,108.787,194.7561,156.9815,0.869,1.18,1.04,0.011,5,27
(2012 HO1),Amor Asteroid,57800,2.0791,0.4609,7.1685,197.4013,24.0454,214.6665,1.1209,3.04,3,0.1191,11,23.5
(2012 HW1),Apollo Asteroid,57800,1.0608,0.6616,49.5753,163.6789,207.8226,58.8653,0.3589,1.76,1.09,0.3964,18,19.9
(2012 HY1),Apollo Asteroid,57800,2.2057,0.5646,4.7729,97.0553,212.984,129.5262,0.9603,3.45,3.28,0.0657,17,19.8
(2012 HA2),Apollo Asteroid,57800,1.0712,0.1431,38.474,211.8934,199.5768,271.089,0.918,1.22,1.11,0.0609,9,21.2
(2012 HB2),Amor Asteroid,57800,1.3892,0.2601,1.6375,142.5209,67.2443,341.6429,1.0279,1.75,1.64,0.0272,8,25.8
(2012 HE2),Apollo Asteroid,57800,1.7297,0.4366,14.7626,216.3044,31.3979,29.7809,0.9745,2.48,2.27,0.024,5,26
(2012 HF2),Apollo Asteroid,57800,1.1919,0.3677,12.4314,80.1231,35.5545,308.0422,0.7537,1.63,1.3,0.0125,7,24.7
(2012 HG2),Apollo Asteroid,57800,1.189,0.1817,0.1114,26.3496,143.4077,288.3549,0.973,1.41,1.3,0.0001,30,27
(2012 HN2),Amor Asteroid,57800,2.6077,0.5274,28.8368,118.6761,45.8745,65.8515,1.2323,3.98,4.21,0.3939,22,19.7
(2012 HO2),Apollo Asteroid,57800,1.2344,0.3947,26.3523,226.1747,211.6881,283.7842,0.7472,1.72,1.37,0.1584,13,20.4
(2012 HQ2),Amor Asteroid,57800,1.767,0.4076,2.6648,334.1254,204.8458,32.6784,1.0468,2.49,2.35,0.0534,9,24.1
(2012 HR2),Amor Asteroid,57800,2.3944,0.5523,3.753,29.2562,198.6358,105.5359,1.0719,3.72,3.71,0.0706,17,23
(2012 HG8),Apollo Asteroid (Hazard),57800,2.4559,0.7288,25.622,256.6728,214.7197,108.155,0.666,4.25,3.85,0.004,52,19.7
(2012 HH8),Apollo Asteroid,57800,1.4975,0.7457,33.8452,249.2945,195.5358,260.535,0.3808,2.61,1.83,0.0511,10,20.8
(2012 HJ8),Apollo Asteroid,57800,1.9157,0.721,13.6923,334.1603,126.0184,318.8622,0.5345,3.3,2.65,0.2009,7,21
(2012 HK8),Amor Asteroid,56039,1.4587,0.2964,36.8109,326.2476,210.9312,19.0168,1.0264,1.89,1.76,0.0613,5,23.5
(2012 HL8),Amor Asteroid,57800,2.45,0.5385,3.5235,187.7758,65.2733,83.1921,1.1306,3.77,3.83,0.1168,10,23.7
(2012 HM8),Amor Asteroid,57800,2.8686,0.6405,3.1664,179.1093,62.1907,352.1408,1.0313,4.71,4.86,0.019,16,24
(2012 HN8),Amor Asteroid,57800,1.8486,0.3856,21.8604,56.3117,194.6635,317.0477,1.1359,2.56,2.51,0.2396,22,20.8
(2012 HO8),Amor Asteroid,57800,1.151,0.1016,23.996,310.0315,211.6806,8.7158,1.0341,1.27,1.23,0.0634,6,24.2
(2012 HM13),Apollo Asteroid,57800,2.1664,0.6028,4.9037,307.5694,210.2449,196.5981,0.8604,3.47,3.19,0.0009,3,28.1
(2012 HN13),Apollo Asteroid,57800,1.4088,0.308,4.072,96.8202,184.0214,281.3985,0.9749,1.84,1.67,0.0531,17,22.8
(2012 HO13),Apollo Asteroid,56043,1.2116,0.1623,38.072,271.534,36.5752,283.1303,1.015,1.41,1.33,0.1707,10,23.2
(2012 HP13),Aten Asteroid,57800,0.9864,0.1762,23.0184,286.4995,37.0931,239.449,0.8126,1.16,0.98,0.0004,17,24.2
(2012 HO15),Apollo Asteroid,57800,2.4373,0.6442,26.0821,112.4086,187.3777,69.9784,0.8672,4.01,3.81,0.0962,32,19.4
(2012 HP15),Apollo Asteroid,57800,1.1356,0.3484,29.4973,131.1205,201.0404,273.8255,0.7399,1.53,1.21,0.1679,7,21.8
(2012 HS15),Amor Asteroid,57800,2.111,0.4956,8.3663,157.3637,134.6932,174.5447,1.0648,3.16,3.07,0.0642,23,20.6
