Object Name,Period Start,Period End,Possible Impacts,Cumulative Impact Probability,Asteroid Velocity,Asteroid Magnitude,Asteroid Diameter (km),Cumulative Palermo Scale,Maximum Palermo Scale,Maximum Torino Scale
2016 FW3,2102,2102,2,3.5E-07,8.79,25.5,0.027,-7.02,-7.28,0
2015 JC1,2102,2102,1,7.7E-08,15.25,27.1,0.013,-8.26,-8.26,0
2016 WF7,2102,2113,4,2.3E-06,6.52,28.7,0.006,-7.88,-7.91,0
2009 RR,2102,2114,20,1.3E-05,12.95,25.6,0.026,-5.38,-6.12,0
2015 TG24,2102,2115,15,8.5E-06,9.84,26.7,0.016,-6.21,-6.77,0
2016 SU2,2102,2115,12,4.9E-06,12.73,27.7,0.01,-6.85,-7.23,0
2006 WK130,2103,2103,1,2E-09,20.74,22.4,0.11,-7.41,-7.41,0
2014 OO6,2103,2103,1,4E-10,17.82,23.3,0.075,-8.63,-8.63,0
2015 VK1,2103,2109,2,4E-07,14.73,26.5,0.017,-7.27,-7.5,0
2013 TV132,2103,2111,4,2.3E-06,9.16,26.5,0.017,-6.74,-7.07,0
2006 UU17,2103,2111,5,1.5E-06,9.8,26.4,0.018,-6.8,-7.12,0
2014 CR13,2103,2113,16,9.9E-05,12.29,25.7,0.024,-4.61,-4.69,0
2016 CY135,2103,2114,5,1.6E-06,6.74,24.4,0.044,-5.93,-6.14,0
2010 CS19,2104,2104,4,4.8E-05,6.82,28,0.009,-6.16,-6.18,0
2014 WE6,2104,2109,5,5.2E-05,4.42,30.3,0.003,-7.3,-7.57,0
2007 YS56,2104,2113,3,6.1E-06,9.14,25.8,0.023,-5.99,-6.25,0
2011 UD21,2105,2105,1,9.3E-06,1.29,28.5,0.007,-7.21,-7.21,0
2016 BE,2105,2105,1,1.7E-09,9.1,23.6,0.066,-8.41,-8.41,0
2009 SD15,2105,2105,1,1.3E-10,13.88,26.9,0.014,-10.98,-11,0
2016 AB166,2106,2106,1,6.4E-08,21.63,24.4,0.044,-6.9,-6.9,0
2004 GE2,2106,2109,2,4.9E-08,20.57,21.4,0.18,-5.57,-5.65,0
2003 XK,2106,2110,2,2E-08,18.04,25.4,0.029,-7.95,-7.95,0
2006 JE,2106,2112,4,2.2E-06,26.36,23.8,0.058,-4.96,-5,0
2006 BM8,2106,2115,10,2.6E-06,14.81,25.4,0.028,-5.96,-6.43,0
2015 DA54,2107,2107,1,5.5E-08,23.13,20.8,0.23,-5.2,-5.2,0
2001 UD5,2107,2107,1,1.5E-08,16.73,22.4,0.11,-6.66,-6.66,0
2016 UR36,2107,2107,2,5.1E-08,17.96,27.5,0.011,-8.59,-8.74,0
2012 EZ1,2107,2107,2,9.4E-08,13.54,28.8,0.006,-9.07,-9.3,0
2013 BR15,2107,2110,2,1.3E-08,14.11,25.1,0.032,-8.13,-8.18,0
2016 LG10,2108,2108,3,3.3E-06,8.69,25.6,0.026,-6.11,-6.44,0
2014 OX3,2108,2108,1,4.9E-08,12.82,27.8,0.009,-8.88,-8.88,0
2007 CS5,2108,2109,2,1.3E-07,5,24.5,0.042,-7.11,-7.37,0
2016 FZ13,2108,2114,6,2.2E-05,4.3,28.3,0.007,-6.75,-7.14,0
2016 EM156,2108,2116,5,2E-05,8.81,27.9,0.009,-6.5,-6.56,0
2016 AU193,2109,2109,1,3.1E-07,21.77,25.3,0.03,-6.63,-6.63,0
2008 OO8,2109,2109,1,6.3E-08,8.31,25.2,0.031,-7.69,-7.69,0
2015 FC345,2109,2109,1,6.2E-07,6.76,27.8,0.009,-7.96,-7.96,0
2014 QJ365,2109,2109,1,5.8E-08,12.19,27.4,0.011,-8.68,-8.68,0
2014 OQ392,2109,2109,1,1.2E-10,11.89,22.8,0.093,-9.12,-9.12,0
2005 SO1,2110,2110,8,4.4E-06,12.02,25.4,0.028,-5.82,-6.32,0
2011 UR63,2110,2110,2,2.9E-07,12.57,25.7,0.024,-7.14,-7.26,0
2016 TQ2,2110,2115,7,3.8E-06,15.21,26.4,0.017,-6.29,-6.56,0
2016 SA2,2110,2116,9,0.00016,5.19,28.1,0.008,-5.77,-6.08,0
2009 HS44,2111,2111,1,7E-06,18.29,26.6,0.017,-5.99,-5.99,0
2013 WZ44,2111,2111,1,3.2E-06,12.56,25.7,0.025,-6.09,-6.09,0
1993 UA,2111,2111,2,7.1E-07,9.4,25.4,0.028,-6.72,-6.88,0
2012 TU231,2111,2111,1,4E-07,9.97,26.2,0.02,-7.31,-7.31,0
2014 WU200,2111,2111,2,1.4E-06,1.73,28.9,0.005,-8.28,-8.44,0
2010 UZ7,2111,2111,1,3.1E-09,15.96,24.7,0.039,-8.52,-8.52,0
2004 DA53,2111,2112,3,1.7E-06,9.35,27.9,0.009,-7.52,-7.61,0
2009 FZ10,2111,2115,5,1.3E-05,13.01,25.5,0.027,-5.37,-5.37,0
2016 WN1,2112,2112,1,1E-06,15.09,25.3,0.029,-6.32,-6.32,0
2016 TB57,2112,2112,1,1.1E-08,2.22,26.1,0.02,-9.01,-9.01,0
2010 UC7,2112,2112,8,2E-06,13.28,24.7,0.038,-5.82,-6.43,0
2012 BA102,2112,2112,1,7E-06,7.23,26.5,0.017,-6.3,-6.3,0
2014 CE,2112,2112,1,1.3E-06,13.03,27,0.013,-7.1,-7.1,0
2016 TC57,2112,2112,1,1E-06,8.74,27,0.013,-7.34,-7.34,0
2004 XG29,2112,2112,1,1.2E-07,5.09,25.4,0.029,-7.57,-7.57,0
2015 PL57,2112,2112,1,7E-08,3.82,25.8,0.024,-8.03,-8.03,0
2009 DM40,2112,2112,2,1.1E-08,8.88,26.6,0.016,-9.09,-9.34,0
2014 HC196,2112,2112,1,2E-10,10.36,25.2,0.031,-10.12,-10.1,0
2011 YQ1,2113,2113,1,1.2E-06,11.65,25.6,0.026,-6.51,-6.51,0
2016 GU2,2113,2113,1,9.2E-09,39.17,24.1,0.052,-7.23,-7.23,0
2011 UA64,2113,2113,1,3.3E-08,14.41,27.1,0.013,-8.7,-8.7,0
2000 WJ107,2114,2114,10,2.2E-06,12.78,23.1,0.081,-5.02,-5.63,0
2016 FV13,2114,2114,1,2E-05,11.06,25.9,0.023,-5.44,-5.44,0
2015 DD54,2114,2114,1,2.6E-06,6.7,25.4,0.028,-6.25,-6.25,0
2015 EG,2115,2115,1,3.4E-08,9.56,25.7,0.025,-8.15,-8.15,0
2014 KW76,2115,2115,1,2.8E-07,15,28,0.008,-8.22,-8.22,0
2012 FN,2115,2115,1,2.3E-08,3.27,29.2,0.005,-10.18,-10.2,0
101955 Bennu (1999 RQ36),2175,2199,78,0.00037,5.99,20.2,0.49,-1.71,-2.32,(*)
410777 (2009 FD),2185,2198,7,0.0016,15.87,22.1,0.16,-1.78,-1.83,(*)
29075 (1950 DA),2880,2880,1,0.00012,14.1,17.6,1.3,-1.42,-1.42,(*)
